date,days_elapsed,treatment,species,mat_index,length_1,length_2,diameter
11/11/19,0,north_fringe,p,1,4,4,4
11/11/19,0,north_fringe,p,2,4,3,3.5
11/11/19,0,north_fringe,p,3,4,3,3.5
11/11/19,0,north_fringe,p,4,3,3,3
11/11/19,0,north_fringe,p,5,3,3,3
11/11/19,0,north_fringe,p,6,4,3,3.5
11/11/19,0,fringe_corner,p,7,4,3,3.5
11/11/19,0,fringe_corner,p,8,4,3,3.5
11/11/19,0,fringe_corner,p,9,3,3,3
11/11/19,0,fringe_corner,p,10,3,3,3
11/11/19,0,fringe_corner,p,11,4,3,3.5
11/11/19,0,fringe_corner,p,12,4,3,3.5
11/11/19,0,stream_outlet,p,13,4,4,4
11/11/19,0,stream_outlet,p,14,4,3,3.5
11/11/19,0,stream_outlet,p,15,4,3,3.5
11/11/19,0,stream_outlet,p,16,4,3,3.5
11/11/19,0,stream_outlet,p,17,3,3,3
11/11/19,0,stream_outlet,p,18,4,2,3
11/11/19,0,stream_outlet,p,19,4,3,3.5
11/11/19,0,p_in-situ,p,20,6,5,5.5
11/11/19,0,p_in-situ,p,21,6,8,7
11/11/19,0,p_in-situ,p,22,6,14,10
11/11/19,0,p_in-situ,p,23,9,11,10
11/11/19,0,p_in-situ,p,24,5,6,5.5
11/11/19,0,p_in-situ,p,25,4,6,5
11/11/19,0,p_in-situ,p,26,4,7,5.5
11/11/19,0,p_in-situ,p,27,7,7,7
11/11/19,0,p_in-situ,p,28,6,6,6
11/11/19,0,p_in-situ,p,29,4,5,4.5
11/11/19,0,l_in-situ,l,30,1,2,1.5
11/11/19,0,l_in-situ,l,31,1,3,2
11/11/19,0,l_in-situ,l,32,3,2,2.5
11/11/19,0,l_in-situ,l,33,2,1,1.5
11/11/19,0,l_in-situ,l,34,2,1,1.5
11/11/19,0,l_in-situ,l,35,2,1,1.5
11/11/19,0,l_in-situ,l,36,1,1,1
11/11/19,0,l_in-situ,l,37,1,1,1
11/11/19,0,l_in-situ,l,38,2,1,1.5
11/11/19,0,l_in-situ,l,39,2,3,2.5
11/11/19,2,north_fringe,p,1,1,1,
11/11/19,2,north_fringe,p,2,4,3,3.5
11/13/19,2,north_fringe,p,3,5,3,4
11/13/19,2,north_fringe,p,4,3,3,3
11/13/19,2,north_fringe,p,5,4,4,4
11/13/19,2,north_fringe,p,6,3,4,3.5
11/13/19,2,fringe_corner,p,7,4,3,3.5
11/13/19,2,fringe_corner,p,8,4,3,3.5
11/13/19,2,fringe_corner,p,9,4,3,3.5
11/13/19,2,fringe_corner,p,10,3,3,3
11/13/19,2,fringe_corner,p,11,4,3,3.5
11/13/19,2,fringe_corner,p,12,4,3,3.5
11/13/19,2,stream_outlet,p,13,4,3,3.5
11/13/19,2,stream_outlet,p,14,4,2,3
11/13/19,2,stream_outlet,p,15,3,4,3.5
11/13/19,2,stream_outlet,p,16,3,4,3.5
11/13/19,2,stream_outlet,p,17,3,3,3
11/13/19,2,stream_outlet,p,18,,,
11/13/19,2,stream_outlet,p,19,4,3,3.5
11/13/19,2,p_in-situ,p,20,5,6,5.5
11/13/19,2,p_in-situ,p,21,6,9,7.5
11/13/19,2,p_in-situ,p,22,7,14,10.5
11/13/19,2,p_in-situ,p,23,9,11,10
11/13/19,2,p_in-situ,p,24,5,7,6
11/13/19,2,p_in-situ,p,25,4,6,5
11/13/19,2,p_in-situ,p,26,4,7,5.5
11/13/19,2,p_in-situ,p,27,6,8,7
11/13/19,2,p_in-situ,p,28,5,8,6.5
11/13/19,2,p_in-situ,p,29,4,6,5
11/13/19,2,l_in-situ,l,30,2,1,1.5
11/13/19,2,l_in-situ,l,31,1,3,2
11/13/19,2,l_in-situ,l,32,3,2,2.5
11/13/19,2,l_in-situ,l,33,2,1,1.5
11/13/19,2,l_in-situ,l,34,2,1,1.5
11/13/19,2,l_in-situ,l,35,1,2,1.5
11/13/19,2,l_in-situ,l,36,1,1,1
11/13/19,2,l_in-situ,l,37,1,1,1
11/13/19,2,l_in-situ,l,38,1,2,1.5
11/13/19,2,l_in-situ,l,39,2,2,2
11/16/19,5,north_fringe,p,1,1,1,
11/16/19,5,north_fringe,p,2,3,4,3.5
11/16/19,5,north_fringe,p,3,5,3,4
11/16/19,5,north_fringe,p,4,3,3,3
11/16/19,5,north_fringe,p,5,4,4,4
11/16/19,5,north_fringe,p,6,4,3,3.5
11/16/19,5,fringe_corner,p,7,5,4,4.5
11/16/19,5,fringe_corner,p,8,5,3,4
11/16/19,5,fringe_corner,p,9,4,2,3
11/16/19,5,fringe_corner,p,10,3,3,3
11/16/19,5,fringe_corner,p,11,4,3,3.5
11/16/19,5,fringe_corner,p,12,3,3,3
11/16/19,5,stream_outlet,p,13,4,3,3.5
11/16/19,5,stream_outlet,p,14,5,3,4
11/16/19,5,stream_outlet,p,15,3,3,3
11/16/19,5,stream_outlet,p,16,4,4,4
11/16/19,5,stream_outlet,p,17,3,4,3.5
11/16/19,5,stream_outlet,p,18,,,
11/16/19,5,stream_outlet,p,19,3,3,3
11/16/19,5,p_in-situ,p,20,5,6,5.5
11/16/19,5,p_in-situ,p,21,7,13,10
11/16/19,5,p_in-situ,p,22,7,15,11
11/16/19,5,p_in-situ,p,23,13,13,13
11/16/19,5,p_in-situ,p,24,5,7,6
11/16/19,5,p_in-situ,p,25,7,6,6.5
11/16/19,5,p_in-situ,p,26,7,8,7.5
11/16/19,5,p_in-situ,p,27,5,6,5.5
11/16/19,5,p_in-situ,p,28,8,5,6.5
11/16/19,5,p_in-situ,p,29,6,5,5.5
11/16/19,5,l_in-situ,l,30,3,1,2
11/16/19,5,l_in-situ,l,31,2,1,1.5
11/16/19,5,l_in-situ,l,32,,,
11/16/19,5,l_in-situ,l,33,3,1,2
11/16/19,5,l_in-situ,l,34,2,1,1.5
11/16/19,5,l_in-situ,l,35,2,1,1.5
11/16/19,5,l_in-situ,l,36,2,1,1.5
11/16/19,5,l_in-situ,l,37,2,1,1.5
11/16/19,5,l_in-situ,l,38,2,1,1.5
11/16/19,5,l_in-situ,l,39,2,1,1.5
11/18/19,7,north_fringe,p,1,1,1,
11/18/19,7,north_fringe,p,2,2,2,2
11/18/19,7,north_fringe,p,3,6,3,4.5
11/18/19,7,north_fringe,p,4,5,8,6.5
11/18/19,7,north_fringe,p,5,4,10,7
11/18/19,7,north_fringe,p,6,10,11,10.5
11/18/19,7,fringe_corner,p,7,4,3,3.5
11/18/19,7,fringe_corner,p,8,2,3,2.5
11/18/19,7,fringe_corner,p,9,2,2,2
11/18/19,7,fringe_corner,p,10,3,3,3
11/18/19,7,fringe_corner,p,11,4,3,3.5
11/18/19,7,fringe_corner,p,12,4,4,4
11/18/19,7,stream_outlet,p,13,5,3,4
11/18/19,7,stream_outlet,p,14,3,2,2.5
11/18/19,7,stream_outlet,p,15,3,3,3
11/18/19,7,stream_outlet,p,16,,,
11/18/19,7,stream_outlet,p,17,4,3,3.5
11/18/19,7,stream_outlet,p,18,,,
11/18/19,7,stream_outlet,p,19,4,4,4
11/18/19,7,p_in-situ,p,20,5,4,4.5
11/18/19,7,p_in-situ,p,21,10,8,9
11/18/19,7,p_in-situ,p,22,10,8,9
11/18/19,7,p_in-situ,p,23,13,17,15
11/18/19,7,p_in-situ,p,24,9,7,8
11/18/19,7,p_in-situ,p,25,7,6,6.5
11/18/19,7,p_in-situ,p,26,,,
11/18/19,7,p_in-situ,p,27,6,5,5.5
11/18/19,7,p_in-situ,p,28,6,12,9
11/18/19,7,p_in-situ,p,29,6,7,6.5
11/18/19,7,l_in-situ,l,30,,,
11/18/19,7,l_in-situ,l,31,3,1,2
11/18/19,7,l_in-situ,l,32,,,
11/18/19,7,l_in-situ,l,33,2,2,2
11/18/19,7,l_in-situ,l,34,2,1,1.5
11/18/19,7,l_in-situ,l,35,1,1,1
11/18/19,7,l_in-situ,l,36,2,1,1.5
11/18/19,7,l_in-situ,l,37,2,1,1.5
11/18/19,7,l_in-situ,l,38,2,1,1.5
11/18/19,7,l_in-situ,l,39,2,1,1.5
11/20/19,9,north_fringe,p,1,,,
11/20/19,9,north_fringe,p,2,2,2,2
11/20/19,9,north_fringe,p,3,6,3,4.5
11/20/19,9,north_fringe,p,4,8,5,6.5
11/20/19,9,north_fringe,p,5,2,1,1.5
11/20/19,9,north_fringe,p,6,11,9,10
11/20/19,9,fringe_corner,p,7,2,3,2.5
11/20/19,9,fringe_corner,p,8,2,3,2.5
11/20/19,9,fringe_corner,p,9,2,3,2.5
11/20/19,9,fringe_corner,p,10,4,1,2.5
11/20/19,9,fringe_corner,p,11,1,1,
11/20/19,9,fringe_corner,p,12,,,
11/20/19,9,stream_outlet,p,13,4,4,4
11/20/19,9,stream_outlet,p,14,2,2,2
11/20/19,9,stream_outlet,p,15,2,4,3
11/20/19,9,stream_outlet,p,16,,,
11/20/19,9,stream_outlet,p,17,4,3,3.5
11/20/19,9,stream_outlet,p,18,,,
11/20/19,9,stream_outlet,p,19,4,4,4
11/20/19,9,p_in-situ,p,20,8,5,6.5
11/20/19,9,p_in-situ,p,21,9,8,8.5
11/20/19,9,p_in-situ,p,22,13,15,14
11/20/19,9,p_in-situ,p,23,15,13,14
11/20/19,9,p_in-situ,p,24,21,18,19.5
11/20/19,9,p_in-situ,p,25,7,6,6.5
11/20/19,9,p_in-situ,p,26,14,12,
11/20/19,9,p_in-situ,p,27,7,7,7
11/20/19,9,p_in-situ,p,28,13,9,11
11/20/19,9,p_in-situ,p,29,12,5,8.5
11/20/19,9,l_in-situ,l,30,,,
11/20/19,9,l_in-situ,l,31,3,1,2
11/20/19,9,l_in-situ,l,32,,,
11/20/19,9,l_in-situ,l,33,2,3,2.5
11/20/19,9,l_in-situ,l,34,,,
11/20/19,9,l_in-situ,l,35,1,1,1
11/20/19,9,l_in-situ,l,36,,,
11/20/19,9,l_in-situ,l,37,1,1,1
11/20/19,9,l_in-situ,l,38,2,1,1.5
11/20/19,9,l_in-situ,l,39,1,1,1
11/23/19,12,north_fringe,p,1,,,
11/23/19,12,north_fringe,p,2,2,2,2
11/23/19,12,north_fringe,p,3,3,5,4
11/23/19,12,north_fringe,p,4,4,4,4
11/23/19,12,north_fringe,p,5,,,
11/23/19,12,north_fringe,p,6,2,7,4.5
11/23/19,12,fringe_corner,p,7,4,2,3
11/23/19,12,fringe_corner,p,8,2,2,2
11/23/19,12,fringe_corner,p,9,,,
11/23/19,12,fringe_corner,p,10,,,
11/23/19,12,fringe_corner,p,11,4,3,3.5
11/23/19,12,fringe_corner,p,12,4,4,4
11/23/19,12,stream_outlet,p,13,3,3,3
11/23/19,12,stream_outlet,p,14,,,
11/23/19,12,stream_outlet,p,15,2,2,2
11/23/19,12,stream_outlet,p,16,4,4,4
11/23/19,12,stream_outlet,p,17,,,
11/23/19,12,stream_outlet,p,18,,,
11/23/19,12,stream_outlet,p,19,,,
11/23/19,12,p_in-situ,p,20,13,5,9
11/23/19,12,p_in-situ,p,21,9,13,11
11/23/19,12,p_in-situ,p,22,13,10,11.5
11/23/19,12,p_in-situ,p,23,17,14,15.5
11/23/19,12,p_in-situ,p,24,23,17,20
11/23/19,12,p_in-situ,p,25,11,7,9
11/23/19,12,p_in-situ,p,26,25,12,
11/23/19,12,p_in-situ,p,27,7,5,6
11/23/19,12,p_in-situ,p,28,15,7,11
11/23/19,12,p_in-situ,p,29,9,5,7
11/23/19,12,l_in-situ,l,30,,,
11/23/19,12,l_in-situ,l,31,1,1,1
11/23/19,12,l_in-situ,l,32,,,
11/23/19,12,l_in-situ,l,33,,,
11/23/19,12,l_in-situ,l,34,,,
11/23/19,12,l_in-situ,l,35,1,1,1
11/23/19,12,l_in-situ,l,36,,,
11/23/19,12,l_in-situ,l,37,,,
11/23/19,12,l_in-situ,l,38,,,
11/23/19,12,l_in-situ,l,39,1,1,1